Timestamp,ENSEM_ENSAIA/ENSAIA - CTA Mauduit - Temp. Ambiante Haute (°C)
5 févr. 2024 04:30:07 CET,"18,4"
5 févr. 2024 04:45:07 CET,"18,4"
5 févr. 2024 05:00:07 CET,"18,4"
5 févr. 2024 05:15:07 CET,"18,4"
5 févr. 2024 05:30:07 CET,"18,4"
5 févr. 2024 05:45:09 CET,"18,4"
5 févr. 2024 06:00:08 CET,"18,4"
5 févr. 2024 06:15:08 CET,"18,4"
5 févr. 2024 06:30:07 CET,"18,4"
5 févr. 2024 06:45:07 CET,"18,4"
5 févr. 2024 07:00:07 CET,"18,4"
5 févr. 2024 07:15:07 CET,"18,4"
5 févr. 2024 07:30:07 CET,"18,4"
5 févr. 2024 07:45:08 CET,"18,4"
5 févr. 2024 08:00:08 CET,"19,8"
5 févr. 2024 08:15:08 CET,"19,8"
5 févr. 2024 08:30:07 CET,"19,9"
5 févr. 2024 08:45:07 CET,"20,0"
5 févr. 2024 09:00:07 CET,"20,1"
5 févr. 2024 09:15:07 CET,"20,2"
5 févr. 2024 09:30:07 CET,"20,2"
5 févr. 2024 09:45:08 CET,"20,3"
5 févr. 2024 10:00:09 CET,"20,2"
5 févr. 2024 10:15:09 CET,"20,3"
5 févr. 2024 10:30:08 CET,"20,3"
5 févr. 2024 10:45:07 CET,"20,4"
5 févr. 2024 11:00:07 CET,"20,4"
5 févr. 2024 11:15:07 CET,"20,5"
5 févr. 2024 11:30:07 CET,"20,5"
5 févr. 2024 11:45:08 CET,"20,5"
5 févr. 2024 12:00:09 CET,"20,5"
5 févr. 2024 12:15:08 CET,"20,4"
5 févr. 2024 12:30:07 CET,"20,2"
5 févr. 2024 12:45:08 CET,"20,0"
5 févr. 2024 13:00:07 CET,"19,8"
5 févr. 2024 13:15:07 CET,"19,6"
5 févr. 2024 13:30:07 CET,"19,4"
5 févr. 2024 13:45:07 CET,"19,2"
5 févr. 2024 14:00:07 CET,"19,1"
5 févr. 2024 14:15:09 CET,"19,0"
5 févr. 2024 14:30:00 CET,"18,8"
5 févr. 2024 14:45:08 CET,"18,7"
5 févr. 2024 15:00:07 CET,"18,6"
5 févr. 2024 15:15:07 CET,"18,6"
5 févr. 2024 15:30:07 CET,"18,5"
5 févr. 2024 15:45:07 CET,"18,4"
5 févr. 2024 16:00:08 CET,"18,3"
5 févr. 2024 16:15:07 CET,"18,3"
5 févr. 2024 16:30:08 CET,"18,2"
5 févr. 2024 16:45:09 CET,"18,2"
5 févr. 2024 17:00:09 CET,"18,2"
5 févr. 2024 17:15:08 CET,"18,1"
5 févr. 2024 17:30:07 CET,"18,1"
5 févr. 2024 17:45:07 CET,"18,0"
5 févr. 2024 18:00:08 CET,"18,0"
5 févr. 2024 18:15:08 CET,"18,0"
5 févr. 2024 18:30:07 CET,"18,0"
5 févr. 2024 18:45:07 CET,"17,9"
5 févr. 2024 19:00:09 CET,"17,9"
5 févr. 2024 19:15:08 CET,"17,9"
5 févr. 2024 19:30:08 CET,"17,9"
5 févr. 2024 19:45:08 CET,"17,9"
5 févr. 2024 20:00:00 CET,"17,8"
5 févr. 2024 20:15:08 CET,"17,8"
5 févr. 2024 20:30:08 CET,"17,7"
5 févr. 2024 20:45:07 CET,"17,7"
5 févr. 2024 21:00:08 CET,"17,7"
5 févr. 2024 21:15:08 CET,"17,6"
5 févr. 2024 21:30:09 CET,"17,6"
5 févr. 2024 21:45:09 CET,"17,5"
5 févr. 2024 22:00:08 CET,"18,5"
5 févr. 2024 22:15:08 CET,"18,3"
5 févr. 2024 22:30:08 CET,"18,3"
5 févr. 2024 22:45:07 CET,"18,4"
5 févr. 2024 23:00:07 CET,"18,4"
5 févr. 2024 23:15:07 CET,"18,4"
5 févr. 2024 23:30:07 CET,"18,4"
5 févr. 2024 23:45:08 CET,"18,4"
6 févr. 2024 00:00:08 CET,"18,4"
6 févr. 2024 00:15:08 CET,"18,5"
6 févr. 2024 00:30:07 CET,"18,5"
6 févr. 2024 00:45:00 CET,"18,5"
6 févr. 2024 01:00:20 CET,"18,5"
6 févr. 2024 01:15:07 CET,"18,5"
6 févr. 2024 01:30:08 CET,"18,5"
6 févr. 2024 01:45:00 CET,"18,5"
