Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 09:37:18 CET,"71633,1"
7 févr. 2024 09:37:33 CET,"71633,3"
7 févr. 2024 09:37:48 CET,"71633,5"
7 févr. 2024 09:38:03 CET,"71633,8"
7 févr. 2024 09:38:18 CET,"71634,0"
7 févr. 2024 09:38:33 CET,"71634,3"
7 févr. 2024 09:38:48 CET,"71634,6"
7 févr. 2024 09:39:03 CET,"71634,8"
7 févr. 2024 09:39:18 CET,"71635,1"
7 févr. 2024 09:39:33 CET,"71635,3"
7 févr. 2024 09:39:48 CET,"71635,6"
7 févr. 2024 09:40:04 CET,"71635,8"
7 févr. 2024 09:40:19 CET,"71636,0"
7 févr. 2024 09:40:34 CET,"71636,3"
7 févr. 2024 09:40:49 CET,"71636,5"
7 févr. 2024 09:41:04 CET,"71636,7"
7 févr. 2024 09:41:19 CET,"71637,0"
7 févr. 2024 09:41:34 CET,"71637,2"
7 févr. 2024 09:41:49 CET,"71637,5"
7 févr. 2024 09:42:04 CET,"71637,7"
7 févr. 2024 09:42:19 CET,"71637,9"
7 févr. 2024 09:42:34 CET,"71638,2"
7 févr. 2024 09:42:49 CET,"71638,4"
7 févr. 2024 09:43:04 CET,"71638,6"
7 févr. 2024 09:43:19 CET,"71638,9"
7 févr. 2024 09:43:35 CET,"71639,1"
7 févr. 2024 09:43:50 CET,"71639,4"
7 févr. 2024 09:44:05 CET,"71639,6"
7 févr. 2024 09:44:20 CET,"71639,9"
7 févr. 2024 09:44:35 CET,"71640,2"
7 févr. 2024 09:44:50 CET,"71640,4"
7 févr. 2024 09:45:17 CET,"71640,7"
7 févr. 2024 09:45:20 CET,"71640,9"
7 févr. 2024 09:45:35 CET,"71641,2"
7 févr. 2024 09:45:50 CET,"71641,4"
7 févr. 2024 09:46:05 CET,"71641,7"
7 févr. 2024 09:46:20 CET,"71641,9"
7 févr. 2024 09:46:35 CET,"71642,2"
7 févr. 2024 09:46:51 CET,"71642,4"
7 févr. 2024 09:47:06 CET,"71642,7"
7 févr. 2024 09:47:21 CET,"71642,9"
7 févr. 2024 09:47:36 CET,"71643,1"
7 févr. 2024 09:47:51 CET,"71643,4"
7 févr. 2024 09:48:06 CET,"71643,6"
7 févr. 2024 09:48:21 CET,"71643,9"
7 févr. 2024 09:48:36 CET,"71644,1"
7 févr. 2024 09:48:51 CET,"71644,4"
7 févr. 2024 09:49:06 CET,"71644,6"
7 févr. 2024 09:49:21 CET,"71644,8"
7 févr. 2024 09:49:36 CET,"71645,1"
7 févr. 2024 09:49:51 CET,"71645,3"
7 févr. 2024 09:50:06 CET,"71645,5"
7 févr. 2024 09:50:22 CET,"71645,8"
7 févr. 2024 09:50:37 CET,"71646,0"
7 févr. 2024 09:50:52 CET,"71646,2"
7 févr. 2024 09:51:07 CET,"71646,5"
7 févr. 2024 09:51:22 CET,"71646,7"
7 févr. 2024 09:51:37 CET,"71647,0"
7 févr. 2024 09:51:52 CET,"71647,2"
7 févr. 2024 09:52:07 CET,"71647,5"
7 févr. 2024 09:52:22 CET,"71647,8"
7 févr. 2024 09:52:37 CET,"71648,0"
7 févr. 2024 09:52:52 CET,"71648,2"
7 févr. 2024 09:53:07 CET,"71648,5"
7 févr. 2024 09:53:22 CET,"71648,7"
7 févr. 2024 09:53:37 CET,"71649,0"
7 févr. 2024 09:53:52 CET,"71649,2"
7 févr. 2024 09:54:08 CET,"71649,4"
7 févr. 2024 09:54:23 CET,"71649,7"
7 févr. 2024 09:54:38 CET,"71649,9"
7 févr. 2024 09:54:53 CET,"71650,1"
7 févr. 2024 09:55:08 CET,"71650,4"
7 févr. 2024 09:55:23 CET,"71650,6"
7 févr. 2024 09:55:38 CET,"71650,9"
7 févr. 2024 09:55:53 CET,"71651,1"
7 févr. 2024 09:56:08 CET,"71651,4"
7 févr. 2024 09:56:23 CET,"71651,6"
7 févr. 2024 09:56:38 CET,"71651,8"
