Timestamp,ENSEM_ENSAIA/Centrale mesure générale-puissance active totale (kW)
7 févr. 2024 09:44:51 CET,"61,9"
7 févr. 2024 09:45:17 CET,"61,3"
7 févr. 2024 09:45:21 CET,"60,5"
7 févr. 2024 09:45:36 CET,"61,8"
7 févr. 2024 09:45:52 CET,"63,3"
7 févr. 2024 09:46:07 CET,"59,1"
7 févr. 2024 09:46:22 CET,"58,5"
7 févr. 2024 09:46:37 CET,"57,6"
7 févr. 2024 09:46:52 CET,"57,0"
7 févr. 2024 09:47:07 CET,"54,5"
7 févr. 2024 09:47:23 CET,"58,8"
7 févr. 2024 09:47:37 CET,"58,2"
7 févr. 2024 09:47:52 CET,"58,5"
7 févr. 2024 09:48:07 CET,"60,3"
7 févr. 2024 09:48:22 CET,"58,6"
7 févr. 2024 09:48:37 CET,"55,2"
7 févr. 2024 09:48:52 CET,"56,1"
7 févr. 2024 09:49:07 CET,"55,1"
7 févr. 2024 09:49:22 CET,"55,6"
7 févr. 2024 09:49:38 CET,"56,2"
7 févr. 2024 09:49:53 CET,"56,4"
7 févr. 2024 09:50:08 CET,"56,8"
7 févr. 2024 09:50:23 CET,"55,5"
7 févr. 2024 09:50:38 CET,"56,8"
7 févr. 2024 09:50:53 CET,"58,0"
7 févr. 2024 09:51:08 CET,"60,6"
7 févr. 2024 09:51:23 CET,"60,0"
7 févr. 2024 09:51:38 CET,"61,6"
7 févr. 2024 09:51:53 CET,"60,8"
7 févr. 2024 09:52:08 CET,"60,6"
7 févr. 2024 09:52:23 CET,"58,3"
7 févr. 2024 09:52:38 CET,"57,8"
7 févr. 2024 09:52:54 CET,"59,0"
7 févr. 2024 09:53:09 CET,"59,8"
7 févr. 2024 09:53:24 CET,"54,8"
7 févr. 2024 09:53:39 CET,"57,2"
7 févr. 2024 09:53:54 CET,"58,5"
7 févr. 2024 09:54:09 CET,"58,1"
7 févr. 2024 09:54:24 CET,"56,0"
7 févr. 2024 09:54:39 CET,"59,0"
7 févr. 2024 09:54:54 CET,"57,9"
7 févr. 2024 09:55:09 CET,"57,6"
7 févr. 2024 09:55:24 CET,"57,2"
7 févr. 2024 09:55:39 CET,"54,7"
7 févr. 2024 09:55:54 CET,"58,3"
7 févr. 2024 09:56:09 CET,"57,2"
7 févr. 2024 09:56:24 CET,"56,9"
7 févr. 2024 09:56:39 CET,"56,7"
7 févr. 2024 09:56:55 CET,"55,4"
7 févr. 2024 09:57:10 CET,"56,5"
7 févr. 2024 09:57:25 CET,"57,4"
7 févr. 2024 09:57:41 CET,"57,7"
7 févr. 2024 09:57:56 CET,"54,9"
7 févr. 2024 09:58:11 CET,"58,2"
7 févr. 2024 09:58:26 CET,"61,5"
7 févr. 2024 09:58:41 CET,"62,2"
7 févr. 2024 09:58:56 CET,"59,9"
7 févr. 2024 09:59:11 CET,"58,9"
7 févr. 2024 09:59:26 CET,"58,1"
7 févr. 2024 09:59:41 CET,"57,6"
7 févr. 2024 09:59:56 CET,"53,8"
7 févr. 2024 10:00:17 CET,"55,2"
7 févr. 2024 10:00:26 CET,"53,1"
7 févr. 2024 10:00:57 CET,"53,9"
7 févr. 2024 10:01:12 CET,"54,8"
7 févr. 2024 10:01:27 CET,"54,6"
7 févr. 2024 10:01:57 CET,"53,6"
7 févr. 2024 10:02:12 CET,"53,5"
7 févr. 2024 10:02:27 CET,"51,4"
7 févr. 2024 10:02:42 CET,"51,7"
7 févr. 2024 10:02:57 CET,"55,1"
7 févr. 2024 10:03:12 CET,"57,3"
7 févr. 2024 10:03:27 CET,"52,8"
7 févr. 2024 10:03:43 CET,"53,7"
7 févr. 2024 10:03:58 CET,"55,8"
7 févr. 2024 10:04:13 CET,"54,8"
7 févr. 2024 10:04:28 CET,"53,2"
7 févr. 2024 10:04:43 CET,"49,0"
7 févr. 2024 10:04:58 CET,"52,8"
7 févr. 2024 10:05:13 CET,"56,3"
7 févr. 2024 10:05:43 CET,"58,5"
7 févr. 2024 10:05:58 CET,"58,3"
7 févr. 2024 10:06:13 CET,"59,1"
7 févr. 2024 10:06:28 CET,"55,8"
7 févr. 2024 10:06:43 CET,"52,0"
7 févr. 2024 10:06:59 CET,"54,5"
7 févr. 2024 10:07:14 CET,"53,3"
7 févr. 2024 10:07:29 CET,"53,5"
7 févr. 2024 10:07:59 CET,"49,7"
7 févr. 2024 10:08:14 CET,"51,6"
7 févr. 2024 10:08:29 CET,"55,9"
7 févr. 2024 10:08:59 CET,"52,0"
7 févr. 2024 10:09:14 CET,"54,2"
7 févr. 2024 10:09:29 CET,"59,4"
7 févr. 2024 10:09:44 CET,"58,0"
7 févr. 2024 10:09:59 CET,"54,5"
7 févr. 2024 10:10:14 CET,"56,4"
7 févr. 2024 10:10:29 CET,"59,0"
7 févr. 2024 10:10:45 CET,"57,6"
7 févr. 2024 10:11:00 CET,"57,1"
7 févr. 2024 10:11:15 CET,"54,5"
7 févr. 2024 10:11:30 CET,"57,2"
7 févr. 2024 10:11:45 CET,"58,8"
7 févr. 2024 10:12:00 CET,"60,1"
7 févr. 2024 10:12:15 CET,"59,7"
7 févr. 2024 10:12:30 CET,"53,7"
7 févr. 2024 10:12:45 CET,"57,0"
7 févr. 2024 10:13:00 CET,"56,4"
7 févr. 2024 10:13:15 CET,"53,6"
7 févr. 2024 10:13:30 CET,"52,6"
7 févr. 2024 10:13:45 CET,"53,3"
7 févr. 2024 10:14:16 CET,"55,7"
7 févr. 2024 10:14:31 CET,"53,2"
7 févr. 2024 10:14:46 CET,"52,2"
7 févr. 2024 10:15:16 CET,"55,9"
7 févr. 2024 10:15:31 CET,"53,5"
7 févr. 2024 10:15:46 CET,"50,9"
7 févr. 2024 10:16:01 CET,"53,9"
7 févr. 2024 10:16:16 CET,"54,4"
7 févr. 2024 10:16:31 CET,"51,4"
7 févr. 2024 10:17:01 CET,"55,1"
7 févr. 2024 10:17:16 CET,"56,5"
7 févr. 2024 10:17:47 CET,"53,5"
7 févr. 2024 10:18:02 CET,"49,5"
7 févr. 2024 10:18:17 CET,"54,0"
7 févr. 2024 10:18:32 CET,"55,3"
7 févr. 2024 10:18:47 CET,"51,4"
7 févr. 2024 10:19:02 CET,"53,3"
7 févr. 2024 10:19:17 CET,"57,7"
7 févr. 2024 10:19:32 CET,"58,0"
7 févr. 2024 10:19:47 CET,"55,1"
7 févr. 2024 10:20:02 CET,"52,7"
7 févr. 2024 10:20:17 CET,"55,4"
7 févr. 2024 10:20:32 CET,"52,8"
7 févr. 2024 10:20:47 CET,"50,7"
7 févr. 2024 10:21:02 CET,"49,0"
7 févr. 2024 10:21:17 CET,"50,7"
7 févr. 2024 10:21:33 CET,"56,0"
7 févr. 2024 10:21:48 CET,"55,4"
7 févr. 2024 10:22:03 CET,"52,4"
7 févr. 2024 10:22:18 CET,"51,0"
7 févr. 2024 10:22:33 CET,"52,3"
7 févr. 2024 10:22:48 CET,"53,2"
7 févr. 2024 10:23:03 CET,"50,3"
7 févr. 2024 10:23:18 CET,"48,8"
7 févr. 2024 10:23:33 CET,"51,4"
7 févr. 2024 10:23:48 CET,"53,6"
7 févr. 2024 10:24:03 CET,"49,5"
7 févr. 2024 10:24:18 CET,"47,9"
7 févr. 2024 10:24:33 CET,"51,4"
7 févr. 2024 10:24:48 CET,"52,6"
7 févr. 2024 10:25:03 CET,"52,3"
7 févr. 2024 10:25:19 CET,"50,2"
7 févr. 2024 10:25:34 CET,"47,3"
7 févr. 2024 10:25:49 CET,"54,3"
7 févr. 2024 10:26:04 CET,"57,0"
7 févr. 2024 10:26:19 CET,"54,5"
7 févr. 2024 10:26:34 CET,"52,5"
7 févr. 2024 10:26:49 CET,"53,2"
7 févr. 2024 10:27:04 CET,"54,7"
7 févr. 2024 10:27:19 CET,"52,8"
7 févr. 2024 10:27:34 CET,"50,6"
7 févr. 2024 10:27:49 CET,"55,4"
7 févr. 2024 10:28:04 CET,"54,9"
7 févr. 2024 10:28:34 CET,"53,0"
7 févr. 2024 10:28:50 CET,"50,8"
7 févr. 2024 10:29:05 CET,"51,7"
7 févr. 2024 10:29:20 CET,"54,8"
7 févr. 2024 10:29:35 CET,"53,3"
7 févr. 2024 10:29:50 CET,"52,2"
7 févr. 2024 10:30:16 CET,"54,6"
7 févr. 2024 10:30:20 CET,"57,0"
7 févr. 2024 10:30:35 CET,"52,9"
7 févr. 2024 10:30:50 CET,"51,2"
7 févr. 2024 10:31:05 CET,"54,4"
7 févr. 2024 10:31:20 CET,"54,1"
7 févr. 2024 10:31:35 CET,"56,0"
7 févr. 2024 10:31:51 CET,"54,5"
7 févr. 2024 10:32:06 CET,"53,9"
7 févr. 2024 10:32:21 CET,"57,4"
7 févr. 2024 10:32:36 CET,"57,1"
7 févr. 2024 10:32:51 CET,"55,2"
7 févr. 2024 10:33:06 CET,"53,1"
7 févr. 2024 10:33:36 CET,"55,0"
7 févr. 2024 10:33:51 CET,"53,2"
7 févr. 2024 10:34:06 CET,"50,8"
7 févr. 2024 10:34:21 CET,"50,4"
7 févr. 2024 10:34:36 CET,"54,8"
7 févr. 2024 10:34:51 CET,"54,6"
7 févr. 2024 10:35:06 CET,"52,5"
7 févr. 2024 10:35:21 CET,"49,9"
7 févr. 2024 10:35:37 CET,"56,4"
7 févr. 2024 10:35:52 CET,"58,2"
7 févr. 2024 10:36:07 CET,"55,2"
7 févr. 2024 10:36:22 CET,"51,4"
7 févr. 2024 10:36:37 CET,"53,5"
7 févr. 2024 10:36:52 CET,"54,3"
7 févr. 2024 10:37:07 CET,"51,6"
7 févr. 2024 10:37:22 CET,"49,9"
7 févr. 2024 10:37:37 CET,"53,1"
7 févr. 2024 10:37:52 CET,"55,6"
7 févr. 2024 10:38:07 CET,"53,1"
7 févr. 2024 10:38:22 CET,"55,2"
7 févr. 2024 10:38:37 CET,"54,3"
7 févr. 2024 10:38:52 CET,"57,4"
7 févr. 2024 10:39:07 CET,"57,9"
7 févr. 2024 10:39:22 CET,"55,5"
7 févr. 2024 10:39:38 CET,"54,0"
7 févr. 2024 10:39:53 CET,"54,7"
7 févr. 2024 10:40:08 CET,"56,6"
7 févr. 2024 10:40:23 CET,"54,6"
7 févr. 2024 10:40:38 CET,"52,1"
7 févr. 2024 10:40:53 CET,"51,7"
7 févr. 2024 10:41:08 CET,"55,1"
7 févr. 2024 10:41:23 CET,"54,2"
7 févr. 2024 10:41:38 CET,"53,4"
7 févr. 2024 10:41:53 CET,"55,6"
7 févr. 2024 10:42:08 CET,"60,5"
7 févr. 2024 10:42:23 CET,"59,4"
7 févr. 2024 10:42:38 CET,"57,4"
7 févr. 2024 10:42:53 CET,"54,4"
7 févr. 2024 10:43:08 CET,"55,8"
7 févr. 2024 10:43:24 CET,"60,6"
7 févr. 2024 10:43:39 CET,"59,4"
7 févr. 2024 10:43:54 CET,"57,3"
7 févr. 2024 10:44:09 CET,"57,6"
7 févr. 2024 10:44:24 CET,"59,8"
7 févr. 2024 10:44:39 CET,"62,2"
7 févr. 2024 10:44:54 CET,"58,8"
7 févr. 2024 10:45:16 CET,"60,7"
7 févr. 2024 10:45:24 CET,"63,0"
7 févr. 2024 10:45:39 CET,"67,4"
7 févr. 2024 10:45:54 CET,"63,4"
7 févr. 2024 10:46:09 CET,"63,6"
7 févr. 2024 10:46:25 CET,"69,2"
7 févr. 2024 10:46:40 CET,"68,0"
7 févr. 2024 10:46:55 CET,"66,6"
7 févr. 2024 10:47:10 CET,"61,4"
7 févr. 2024 10:47:25 CET,"60,2"
7 févr. 2024 10:47:40 CET,"66,2"
7 févr. 2024 10:47:55 CET,"67,1"
7 févr. 2024 10:48:10 CET,"61,9"
7 févr. 2024 10:48:25 CET,"63,3"
7 févr. 2024 10:48:40 CET,"67,3"
7 févr. 2024 10:48:55 CET,"64,8"
7 févr. 2024 10:49:10 CET,"61,3"
7 févr. 2024 10:49:25 CET,"60,5"
7 févr. 2024 10:49:40 CET,"63,1"
7 févr. 2024 10:49:55 CET,"65,7"
7 févr. 2024 10:50:11 CET,"67,0"
7 févr. 2024 10:50:26 CET,"64,2"
7 févr. 2024 10:50:41 CET,"65,8"
7 févr. 2024 10:50:56 CET,"67,5"
7 févr. 2024 10:51:11 CET,"69,7"
7 févr. 2024 10:51:26 CET,"65,3"
7 févr. 2024 10:51:41 CET,"65,6"
7 févr. 2024 10:51:56 CET,"68,8"
7 févr. 2024 10:52:11 CET,"64,9"
7 févr. 2024 10:52:26 CET,"57,6"
7 févr. 2024 10:52:41 CET,"56,5"
7 févr. 2024 10:52:56 CET,"60,6"
7 févr. 2024 10:53:11 CET,"60,9"
7 févr. 2024 10:53:26 CET,"59,7"
7 févr. 2024 10:53:41 CET,"55,3"
7 févr. 2024 10:53:57 CET,"56,3"
7 févr. 2024 10:54:12 CET,"61,0"
7 févr. 2024 10:54:27 CET,"60,7"
7 févr. 2024 10:54:42 CET,"55,1"
7 févr. 2024 10:54:57 CET,"54,5"
7 févr. 2024 10:55:12 CET,"56,0"
7 févr. 2024 10:55:27 CET,"56,2"
7 févr. 2024 10:55:42 CET,"52,6"
7 févr. 2024 10:55:57 CET,"53,6"
7 févr. 2024 10:56:12 CET,"56,7"
7 févr. 2024 10:56:27 CET,"56,3"
7 févr. 2024 10:56:42 CET,"52,5"
7 févr. 2024 10:56:57 CET,"51,4"
7 févr. 2024 10:57:12 CET,"52,2"
7 févr. 2024 10:57:27 CET,"56,3"
7 févr. 2024 10:57:43 CET,"58,4"
7 févr. 2024 10:57:59 CET,"57,8"
7 févr. 2024 10:58:14 CET,"53,9"
7 févr. 2024 10:58:29 CET,"55,7"
7 févr. 2024 10:58:44 CET,"56,4"
7 févr. 2024 10:58:59 CET,"55,2"
7 févr. 2024 10:59:14 CET,"50,6"
7 févr. 2024 10:59:29 CET,"51,0"
7 févr. 2024 10:59:44 CET,"55,8"
7 févr. 2024 10:59:59 CET,"56,0"
7 févr. 2024 11:00:16 CET,"51,6"
7 févr. 2024 11:00:29 CET,"50,9"
7 févr. 2024 11:00:44 CET,"51,9"
7 févr. 2024 11:01:00 CET,"54,0"
7 févr. 2024 11:01:15 CET,"56,0"
7 févr. 2024 11:01:30 CET,"56,1"
7 févr. 2024 11:01:45 CET,"55,3"
7 févr. 2024 11:02:00 CET,"60,0"
7 févr. 2024 11:02:15 CET,"61,7"
7 févr. 2024 11:02:30 CET,"58,2"
7 févr. 2024 11:02:45 CET,"54,6"
7 févr. 2024 11:03:00 CET,"59,7"
7 févr. 2024 11:03:15 CET,"58,0"
7 févr. 2024 11:03:30 CET,"58,4"
7 févr. 2024 11:03:45 CET,"60,8"
7 févr. 2024 11:04:00 CET,"63,1"
7 févr. 2024 11:04:15 CET,"63,6"
7 févr. 2024 11:04:30 CET,"65,3"
